a b
0.1 50.7884137930979
2.3 21.185239849348275
4.5 13.297698181252608
6.7 10.83428831146292
9.0 9.454112102587018
11.2 8.503831232377351
13.4 7.798737571894606
15.6 7.248249535075146
17.8 6.777579011674921
20.0 6.387843528933445
22.2 6.057763602291026
24.4 5.77334850333802
26.7 5.524538567929912
28.9 5.3076657417478215
31.1 5.1161104761170035
33.3 4.940500852147919
35.5 4.7856564630963305
37.7 4.642752482119728
39.9 4.510820359421295
42.1 4.395052608224325
44.4 4.2821947031201155
46.6 4.177643189448676
48.8 4.083972938896775
51.0 3.999214330778127
