a b c
0.1 0.0 0.019607843137254898
0.1 0.11 0.019609896637715243
0.1 0.22 0.019611950725609572
0.1 0.33 0.01961400445887739
0.1 0.43 0.01961605780421335
0.1 0.54 0.01961811227180555
0.1 0.65 0.019620166741455305
0.1 0.76 0.01962222119551949
0.1 0.87 0.019624275618632496
0.1 0.98 0.0196263299965386
0.1 1.09 0.019628384315575585
0.1 1.2 0.01963043856243289
0.1 1.3 0.019632492724031933
0.1 1.41 0.019634546787463493
0.1 1.52 0.019636600739952128
0.1 1.63 0.019638654568834013
0.1 1.74 0.01964070826154142
0.1 1.85 0.01964276180559044
0.1 1.96 0.019644815188570586
0.1 2.07 0.019646868398135262
0.1 2.17 0.019648921421993
0.1 2.28 0.01965097424789897
0.1 2.39 0.019653026863646984
0.1 2.5 0.01965507925706181
 
2.3 0.0 0.019607843137254898
2.3 0.11 0.0202490119006867
2.3 0.22 0.02089336056620102
2.3 0.33 0.021539639545443665
2.3 0.43 0.022186641296790936
2.3 0.54 0.022833161535427055
2.3 0.65 0.023477946130717332
2.3 0.76 0.024119818065672507
2.3 0.87 0.024757582712726916
2.3 0.98 0.025390051872487964
2.3 1.09 0.02601605427596681
2.3 1.2 0.026634438717839787
2.3 1.3 0.027244078407280155
2.3 1.41 0.027843877338455104
2.3 1.52 0.02843278008520447
2.3 1.63 0.029009860295308654
2.3 1.74 0.029574021948724705
2.3 1.85 0.030124347878508758
2.3 1.96 0.03065994476078659
2.3 2.07 0.031179962524192518
2.3 2.17 0.03168359662451659
2.3 2.28 0.032170095728847485
2.3 2.39 0.03263895224519953
2.3 2.5 0.03308939681665561
 
4.5 0.0 0.019607843137254898
4.5 0.11 0.021498157779214863
4.5 0.22 0.023426665325848906
4.5 0.33 0.025381265944643242
4.5 0.43 0.02734905185571424
4.5 0.54 0.0293173035531692
4.5 0.65 0.03127279230855061
4.5 0.76 0.0332027798211175
4.5 0.87 0.03509463323488792
4.5 0.98 0.03693597728070242
4.5 1.09 0.03871531892139353
4.5 1.2 0.04042168913152527
4.5 1.3 0.04204500312528305
4.5 1.41 0.043576498157468516
4.5 1.52 0.0450080962599461
4.5 1.63 0.046333069895110025
4.5 1.74 0.047545895030551434
4.5 1.85 0.04864262208894517
4.5 1.96 0.04962043764809874
4.5 2.07 0.050477817152553894
4.5 2.17 0.051214555200185745
4.5 2.28 0.05183187357641599
4.5 2.39 0.05233252646296681
4.5 2.5 0.05271984117482364
 
6.7 0.0 0.019607843137254898
6.7 0.11 0.022606563985084697
6.7 0.22 0.0257500807279483
6.7 0.33 0.02900210302104052
6.7 0.43 0.03232294619414944
6.7 0.54 0.03567006801291219
6.7 0.65 0.03899970325270619
6.7 0.76 0.042267827799260825
6.7 0.87 0.045431400875701
6.7 0.98 0.04845018767326931
6.7 1.09 0.05128644079891718
6.7 1.2 0.053907284129463676
6.7 1.3 0.05628552068882703
6.7 1.41 0.05839933774633465
6.7 1.52 0.060233475948304145
6.7 1.63 0.06177970567534912
6.7 1.74 0.06303629922632403
6.7 1.85 0.06400788394950065
6.7 1.96 0.06470550674033025
6.7 2.07 0.06514573803900268
6.7 2.17 0.06534914432320121
6.7 2.28 0.06534115374969408
6.7 2.39 0.06514903562798803
6.7 2.5 0.0648023013725061
 
9.0 0.0 0.019607843137254898
9.0 0.11 0.023508386527121013
9.0 0.22 0.027732354306288644
9.0 0.33 0.03221395181324804
9.0 0.43 0.03687324748466955
9.0 0.54 0.04161950773494996
9.0 0.65 0.046354778988951434
9.0 0.76 0.05097843514308498
9.0 0.87 0.055391787073394365
9.0 0.98 0.05950388904028544
9.0 1.09 0.06323397521570434
9.0 1.2 0.06651719899508815
9.0 1.3 0.06930661511976327
9.0 1.41 0.07157461057383525
9.0 1.52 0.07331549223076182
9.0 1.63 0.07454196648484472
9.0 1.74 0.07528584660683633
9.0 1.85 0.07559516684917694
9.0 1.96 0.07552859814525212
9.0 2.07 0.07515448315487931
9.0 2.17 0.07454317071765434
9.0 2.28 0.07376710133141148
9.0 2.39 0.07289156711426634
9.0 2.5 0.071976539902837
 
11.2 0.0 0.019607843137254898
11.2 0.11 0.02447529708302295
11.2 0.22 0.029887426580599636
11.2 0.33 0.035740291158362476
11.2 0.43 0.04189462363036179
11.2 0.54 0.048183386680840545
11.2 0.65 0.054421175133473575
11.2 0.76 0.060417494172171904
11.2 0.87 0.0659898897213654
11.2 0.98 0.07097680182762095
11.2 1.09 0.075249672796332
11.2 1.2 0.0787222412860263
11.2 1.3 0.08135497949277308
11.2 1.41 0.08315773930986474
11.2 1.52 0.08418513577591917
11.2 1.63 0.08453027033477031
11.2 1.74 0.08431361200820923
11.2 1.85 0.0836732730410356
11.2 1.96 0.08274869886350128
11.2 2.07 0.0816719542103797
11.2 2.17 0.08055563331465988
11.2 2.28 0.07948653766892719
11.2 2.39 0.07852189507271956
11.2 2.5 0.07768801665310064
 
13.4 0.0 0.019607843137254898
13.4 0.11 0.025481410024839987
13.4 0.22 0.03215914161317491
13.4 0.33 0.039482762661049414
13.4 0.43 0.04722620508683045
13.4 0.54 0.05511031340671359
13.4 0.65 0.06282541684127235
13.4 0.76 0.07005920578704654
13.4 0.87 0.07652642816123623
13.4 0.98 0.08199723159961865
13.4 1.09 0.0863212434322429
13.4 1.2 0.08943718553964532
13.4 1.3 0.09137946045545625
13.4 1.41 0.09226769551364283
13.4 1.52 0.09228580599179473
13.4 1.63 0.09165839466491742
13.4 1.74 0.09062067836767089
13.4 1.85 0.08938934892321657
13.4 1.96 0.0881411337166193
13.4 2.07 0.08699875541284677
13.4 2.17 0.08602331539553941
13.4 2.28 0.08522148824565533
13.4 2.39 0.08455715116020483
13.4 2.5 0.0839674805537253
 
15.6 0.0 0.019607843137254898
15.6 0.11 0.026385467061855516
15.6 0.22 0.034283119610407885
15.6 0.33 0.043078289080218234
15.6 0.43 0.052432991157470535
15.6 0.54 0.06191818752653975
15.6 0.65 0.07105858007293232
15.6 0.76 0.0793868950424818
15.6 0.87 0.08650250344848293
15.6 0.98 0.09212304556731536
15.6 1.09 0.09611852907432035
15.6 1.2 0.0985220241041162
15.6 1.3 0.09951740561347282
15.6 1.41 0.09939820708814436
15.6 1.52 0.09851759356523317
15.6 1.63 0.09722772545563718
15.6 1.74 0.09582877027887371
15.6 1.85 0.09453243682798078
15.6 1.96 0.09344499690400823
15.6 2.07 0.09257507576101591
15.6 2.17 0.09185849653684804
15.6 2.28 0.09119445561298377
15.6 2.39 0.09048203558630288
