a b c
0.1 0.0 0.019607843137254898
0.1 0.11 0.01961451501263106
0.1 0.22 0.019621216976223422
0.1 0.33 0.019627948917920624
0.1 0.43 0.019634710696549092
0.1 0.54 0.019641502139867924
0.1 0.65 0.019648323044572754
0.1 0.76 0.019655173176309063
0.1 0.87 0.019659935729241143
0.1 0.98 0.01966621976776806
0.1 1.09 0.019672676416661997
0.1 1.2 0.019679272332323628
0.1 1.3 0.019687351402787014
0.1 1.41 0.019693462264637543
0.1 1.52 0.019699614430521133
0.1 1.63 0.019705799511686956
0.1 1.74 0.019712011154709684
0.1 1.85 0.019718244462098255
0.1 1.96 0.01972449559995647
0.1 2.07 0.019730761525812233
0.1 2.17 0.0197370397957416
0.1 2.28 0.019743328425102177
0.1 2.39 0.019749625786269546
0.1 2.5 0.01975593053241499
 
2.3 0.0 0.019607843137254898
2.3 0.11 0.021406674432325867
2.3 0.22 0.02325768454201026
2.3 0.33 0.025155362492573687
2.3 0.43 0.027091757911515687
2.3 0.54 0.029058420378221272
2.3 0.65 0.031046715587773326
2.3 0.76 0.033047984601359215
2.3 0.87 0.035053164016648417
2.3 0.98 0.037053098180024606
2.3 1.09 0.0390385936821345
2.3 1.2 0.04100047087733497
2.3 1.3 0.04293003222887621
2.3 1.41 0.04481747869596113
2.3 1.52 0.04665453149869648
2.3 1.63 0.04843260722229016
2.3 1.74 0.05014348920840933
2.3 1.85 0.05177990852302566
2.3 1.96 0.053334382560670274
2.3 2.07 0.054800165370694466
2.3 2.17 0.05617107236300741
2.3 2.28 0.057441523866616336
2.3 2.39 0.05860658407880328
2.3 2.5 0.05966199505507506
 
4.5 0.0 0.019607843137254898
4.5 0.11 0.02214540125849609
4.5 0.22 0.02493773704342638
4.5 0.33 0.02797657505982529
4.5 0.43 0.031248876949325127
4.5 0.54 0.03473376247988615
4.5 0.65 0.03840300722953414
4.5 0.76 0.04222209615219336
4.5 0.87 0.046149914425220824
4.5 0.98 0.05013922950660173
4.5 1.09 0.05413914462351434
4.5 1.2 0.05809508798010429
4.5 1.3 0.06195053230583599
4.5 1.41 0.0656485818712085
4.5 1.52 0.06913348256300504
4.5 1.63 0.07235219591359822
4.5 1.74 0.07525593432528396
4.5 1.85 0.07780179575859342
4.5 1.96 0.07995330608767405
4.5 2.07 0.08168233955789733
4.5 2.17 0.08296955862756965
4.5 2.28 0.0838050193733942
4.5 2.39 0.08418845130568903
4.5 2.5 0.0841296519457622
 
6.7 0.0 0.019607843137254898
6.7 0.11 0.023174340953433976
6.7 0.22 0.027200003274540405
6.7 0.33 0.03169001612903143
6.7 0.43 0.03663153108470089
6.7 0.54 0.04199176482640356
6.7 0.65 0.047714944762333324
6.7 0.76 0.05372174593780141
6.7 0.87 0.05991042519723284
6.7 0.98 0.0661580173669436
6.7 1.09 0.07232493869845387
6.7 1.2 0.07826045035131861
6.7 1.3 0.08380984820552523
6.7 1.41 0.08882124183839035
6.7 1.52 0.0931554658282572
6.7 1.63 0.09669338588049957
6.7 1.74 0.09934306548066602
6.7 1.85 0.10104564310429323
6.7 1.96 0.10177968902303809
6.7 2.07 0.10156395873985086
6.7 2.17 0.10045472736670692
6.7 2.28 0.09854447254728366
6.7 2.39 0.09595646386052031
6.7 2.5 0.09283715716928044
 
9.0 0.0 0.019607843137254898
9.0 0.11 0.024098530631013526
9.0 0.22 0.029329407027592447
9.0 0.33 0.03532471370368729
9.0 0.43 0.04206930829743889
9.0 0.54 0.04950345454459512
9.0 0.65 0.057515829031392775
9.0 0.76 0.06593978039668887
9.0 0.87 0.07455521107805489
9.0 0.98 0.08309564343939337
9.0 1.09 0.09126132470184051
9.0 1.2 0.09873845201855748
9.0 1.3 0.10522159297109072
9.0 1.41 0.11044165552952773
9.0 1.52 0.11418669514050213
9.0 1.63 0.11632655381495328
9.0 1.74 0.11682678154916103
9.0 1.85 0.11575410783414761
9.0 1.96 0.11327445607241923
9.0 2.07 0.10963871148010897
9.0 2.17 0.10516021680961667
9.0 2.28 0.10018790100040806
9.0 2.39 0.09507323167358006
9.0 2.5 0.09013946998401354
 
11.2 0.0 0.019607843137254898
11.2 0.11 0.02494260978072631
11.2 0.22 0.031348313211155145
11.2 0.33 0.03887445134822133
11.2 0.43 0.047506813736592914
11.2 0.54 0.0571460777633768
11.2 0.65 0.0675914843938949
11.2 0.76 0.07853527736144217
11.2 0.87 0.08956653289487915
11.2 0.98 0.1001937370166224
11.2 1.09 0.10988180427444541
11.2 1.2 0.11810166144304303
11.2 1.3 0.12439018660686724
11.2 1.41 0.12840883246473636
11.2 1.52 0.1299909513496191
11.2 1.63 0.12917378433849605
11.2 1.74 0.12619977115261638
11.2 1.85 0.1214953182078166
11.2 1.96 0.11561602449748633
11.2 2.07 0.10918023317361474
11.2 2.17 0.10278948364592556
11.2 2.28 0.09695678506376053
11.2 2.39 0.09205135492045058
11.2 2.5 0.08827129055152778
 
13.4 0.0 0.019607843137254898
13.4 0.11 0.02577842355673821
13.4 0.22 0.03338932159952937
13.4 0.33 0.042526534972530124
13.4 0.43 0.0531734799638853
13.4 0.54 0.06516845139799131
13.4 0.65 0.07817590993191463
13.4 0.76 0.09167452283857257
13.4 0.87 0.10497618995863288
13.4 0.98 0.11727964491612614
13.4 1.09 0.12775505428807163
13.4 1.2 0.13565768854851643
13.4 1.3 0.14044295866571613
13.4 1.41 0.14186773671884656
13.4 1.52 0.14004802376606915
13.4 1.63 0.1354579568109884
13.4 1.74 0.12886460519039547
13.4 1.85 0.12120406399013725
13.4 1.96 0.11343210702889454
13.4 2.07 0.10636749305593983
13.4 2.17 0.10058122043241104
13.4 2.28 0.09633720782157117
13.4 2.39 0.0936083902326192
13.4 2.5 0.0921476463177645
 
15.6 0.0 0.019607843137254898
15.6 0.11 0.026607651341345465
15.6 0.22 0.035447489316190135
15.6 0.33 0.04627084198362753
15.6 0.43 0.05905411871471381
15.6 0.54 0.07354464502677091
15.6 0.65 0.08921046370175842
15.6 0.76 0.10522964947193969
15.6 0.87 0.12053844747699893
15.6 0.98 0.1339463556672388
15.6 1.09 0.14431108727022668
15.6 1.2 0.15074691962777104
15.6 1.3 0.15281121507154732
15.6 1.41 0.15062895477801164
15.6 1.52 0.1448997754325543
15.6 1.63 0.1367758058943397
15.6 1.74 0.12763610222214491
15.6 1.85 0.11880637374480459
15.6 1.96 0.1113071432807907
15.6 2.07 0.10570044356457563
15.6 2.17 0.10206462673483746
15.6 2.28 0.10010555703644561
15.6 2.39 0.09933846200645388
15.6 2.5 0.09927692367930409
 
17.8 0.0 0.019607843137254898
17.8 0.11 0.02740223092302882
17.8 0.22 0.0374845363896775
17.8 0.33 0.0500577595502884
17.8 0.43 0.06508497378182714
17.8 0.54 0.08218632513152005
17.8 0.65 0.10056062344615083
17.8 0.76 0.11898564497343025
17.8 0.87 0.13592214460577204
17.8 0.98 0.14973804616445
17.8 1.09 0.159022825132403
17.8 1.2 0.1629178549229366
17.8 1.3 0.16136624967686558
17.8 1.41 0.1551837886944368
17.8 1.52 0.14590000915071746
17.8 1.63 0.135397343831964
17.8 1.74 0.12545711749962593
17.8 1.85 0.11736228631154937
17.8 1.96 0.11168592857774808
17.8 2.07 0.1083311378875504
17.8 2.17 0.10676996755928385
17.8 2.28 0.10635541763624283
17.8 2.39 0.10656559079031337
17.8 2.5 0.10708808895270988
 
20.0 0.0 0.019607843137254898
20.0 0.11 0.02817614959780635
20.0 0.22 0.039522368695464355
20.0 0.33 0.053912789917193234
20.0 0.43 0.07128731545625248
20.0 0.54 0.09109127694671526
20.0 0.65 0.11217052690137494
20.0 0.76 0.13279427582575767
20.0 0.87 0.1508607973901417
20.0 0.98 0.16429020738931036
20.0 1.09 0.17152846771588343
20.0 1.2 0.17201281664961923
20.0 1.3 0.16641314309290062
20.0 1.41 0.15651286062294303
20.0 1.52 0.1447336036809026
20.0 1.63 0.1334487877707833
20.0 1.74 0.12436083709135129
20.0 1.85 0.11818027488258287
20.0 1.96 0.11471226685973367
20.0 2.07 0.11324638907352728
20.0 2.17 0.11301317086956549
20.0 2.28 0.11346351845198016
20.0 2.39 0.11427797219953871
20.0 2.5 0.11520491913538003
 
22.2 0.0 0.019607843137254898
22.2 0.11 0.028960882282943256
22.2 0.22 0.041599756413982586
22.2 0.33 0.05788118270607804
22.2 0.43 0.07770526285063163
22.2 0.54 0.10028745729373664
22.2 0.65 0.1240222103644676
22.2 0.76 0.14655798087231683
22.2 0.87 0.1651633661343667
22.2 0.98 0.17736274081883888
22.2 1.09 0.18167801170809522
22.2 1.2 0.17818485211606291
22.2 1.3 0.16860882300294677
22.2 1.41 0.15583049226400433
22.2 1.52 0.14295990587526994
22.2 1.63 0.13237079352569314
22.2 1.74 0.12514283602670256
22.2 1.85 0.12112320857558957
22.2 1.96 0.11947474584670861
22.2 2.07 0.1193011772957555
22.2 2.17 0.11998001748544994
22.2 2.28 0.12109534131770416
22.2 2.39 0.12221115647184437
22.2 2.5 0.12279742414146569
 
24.4 0.0 0.019607843137254898
24.4 0.11 0.029734340764205693
24.4 0.22 0.0436930873885915
24.4 0.33 0.06193689086361997
24.4 0.43 0.08430878228313993
24.4 0.54 0.10972916175522511
24.4 0.65 0.13603190107636867
24.4 0.76 0.1601324019709295
24.4 0.87 0.17863297545140847
24.4 0.98 0.18878537162072517
24.4 1.09 0.1894833620391513
24.4 1.2 0.18181376542398908
24.4 1.3 0.16879409951301488
24.4 1.41 0.1543051990411064
24.4 1.52 0.1416963524205373
24.4 1.63 0.1327757346928002
24.4 1.74 0.12767634584788257
24.4 1.85 0.1255120996804937
24.4 1.96 0.12523448575398635
24.4 2.07 0.12608257739941559
24.4 2.17 0.12747576923526732
24.4 2.28 0.12874279498955188
24.4 2.39 0.1291516423084718
24.4 2.5 0.12829610482819018
 
26.7 0.0 0.019607843137254898
26.7 0.11 0.030481159701741756
26.7 0.22 0.0457845192802091
26.7 0.33 0.06605838255347198
26.7 0.43 0.0910655983816472
26.7 0.54 0.11935848491537435
26.7 0.65 0.14809437574934103
26.7 0.76 0.17335246235714924
26.7 0.87 0.191076171574753
26.7 0.98 0.1984419661876918
26.7 1.09 0.1950748234497968
26.7 1.2 0.1834105083750135
26.7 1.3 0.16782273776897141
26.7 1.41 0.15285299081510922
26.7 1.52 0.14151838176843556
26.7 1.63 0.13465311663749066
26.7 1.74 0.13150098600526997
26.7 1.85 0.13085143055352036
26.7 1.96 0.13174071371119864
26.7 2.07 0.13338036981432388
26.7 2.17 0.13483694768178106
26.7 2.28 0.13516058558432348
26.7 2.39 0.13396806574107303
26.7 2.5 0.1317643737928121
 
28.9 0.0 0.019607843137254898
28.9 0.11 0.03123716021734615
28.9 0.22 0.0479102867413369
28.9 0.33 0.07028072248883285
28.9 0.43 0.09800097407125523
28.9 0.54 0.1291718927746049
28.9 0.65 0.16015146951197157
28.9 0.76 0.1860968177587357
28.9 0.87 0.2023563682370346
28.9 0.98 0.20630493210619677
28.9 1.09 0.19868886325408427
28.9 1.2 0.18353866139490788
28.9 1.3 0.1664310138108195
28.9 1.41 0.1520471913949652
28.9 1.52 0.1425537202203548
28.9 1.63 0.13772197548912254
28.9 1.74 0.13626196739086746
28.9 1.85 0.13695779866150415
28.9 1.96 0.1387824528432295
28.9 2.07 0.14052376448369636
28.9 2.17 0.1409527909564321
28.9 2.28 0.1396147441905904
28.9 2.39 0.13720693609043685
28.9 2.5 0.13486307239911213
 
31.1 0.0 0.019607843137254898
31.1 0.11 0.0320021196701657
31.1 0.22 0.050076246548141426
31.1 0.33 0.07461242977814307
31.1 0.43 0.1051212627912065
31.1 0.54 0.13915750113136818
31.1 0.65 0.1721521601636248
31.1 0.76 0.19827521370076842
31.1 0.87 0.21240260758351995
31.1 0.98 0.21244558987881879
31.1 1.09 0.20065550588596054
31.1 1.2 0.18275651843273602
31.1 1.3 0.16517318161878067
31.1 1.41 0.1521416548380163
31.1 1.52 0.14467954615377637
31.1 1.63 0.14172289970385302
31.1 1.74 0.1418087901443188
31.1 1.85 0.14365491481276174
31.1 1.96 0.1457730736106633
31.1 2.07 0.1465597369594965
31.1 2.17 0.14530482909777034
31.1 2.28 0.14277439720287738
31.1 2.39 0.14029756657934347
31.1 2.5 0.13837742153225635
 
33.3 0.0 0.019607843137254898
33.3 0.11 0.03274121362912659
33.3 0.22 0.05224823416607935
33.3 0.33 0.07901965176745765
33.3 0.43 0.11238779065120001
33.3 0.54 0.1492593728109577
33.3 0.65 0.18401040305092065
33.3 0.76 0.20978612765667803
33.3 0.87 0.2211699913085092
33.3 0.98 0.21699750605452592
33.3 1.09 0.20134771497117024
33.3 1.2 0.18156287038756505
33.3 1.3 0.16440425784922852
33.3 1.41 0.15316721271695072
33.3 1.52 0.14771976636738093
33.3 1.63 0.14651996574272036
33.3 1.74 0.14801777170905792
33.3 1.85 0.15049192629865804
33.3 1.96 0.15190247612305602
33.3 2.07 0.1510263842042156
33.3 2.17 0.14848003133838414
33.3 2.28 0.1458152966429504
33.3 2.39 0.14369712111335922
33.3 2.5 0.14168891287093585
 
35.5 0.0 0.019607843137254898
35.5 0.11 0.033477408690399765
35.5 0.22 0.05443988213168642
35.5 0.33 0.08350892170749878
35.5 0.43 0.11979129431341486
35.5 0.54 0.1594369378915019
35.5 0.65 0.1956441097877691
35.5 0.76 0.22053210912089774
35.5 0.87 0.22863886765976582
35.5 0.98 0.22012999703740882
35.5 1.09 0.20113367898592596
35.5 1.2 0.18034915683329045
35.5 1.3 0.16430177844899768
35.5 1.41 0.15505021807520838
35.5 1.52 0.15155016313807287
35.5 1.63 0.1520308517847493
35.5 1.74 0.15458876200328253
35.5 1.85 0.1568000054647653
35.5 1.96 0.15667765591752497
35.5 2.07 0.15432329517005652
35.5 2.17 0.15145169967339117
35.5 2.28 0.14908605373396874
35.5 2.39 0.14685832928855752
35.5 2.5 0.1445779884887772
 
37.7 0.0 0.019607843137254898
37.7 0.11 0.034236215342942
37.7 0.22 0.05668219167368938
37.7 0.33 0.08810986778773437
37.7 0.43 0.12735147741843722
37.7 0.54 0.16968212686174763
37.7 0.65 0.207004808172351
37.7 0.76 0.23045692419609243
37.7 0.87 0.2348363379565851
37.7 0.98 0.2220434794367993
37.7 1.09 0.20035153895113195
