a b c
0.1 0.0 0.019607843137254898
0.1 0.11 0.01961139263057948
0.1 0.22 0.019614942346294267
0.1 0.33 0.019618492278000284
0.1 0.43 0.019622042419727845
0.1 0.54 0.01962559276592497
0.1 0.65 0.01962914331144796
0.1 0.76 0.01963269405155441
0.1 0.87 0.019636244981898535
0.1 0.98 0.019639796098528645
0.1 1.09 0.01964334739788721
0.1 1.2 0.01964689887681294
0.1 1.3 0.019650450532545334
0.1 1.41 0.019654002362731494
0.1 1.52 0.019657554365435252
0.1 1.63 0.019661106539148536
0.1 1.74 0.0196646588828051
0.1 1.85 0.019668211395796407
0.1 1.96 0.019671764077989963
0.1 2.07 0.019675316929749755
0.1 2.17 0.019678869951959044
0.1 2.28 0.019682423146045378
0.1 2.39 0.019685976514007723
0.1 2.5 0.019689530058446106
 
2.3 0.0 0.019607843137254898
2.3 0.11 0.020870868666636056
2.3 0.22 0.022154167500588275
2.3 0.33 0.02345448462128444
2.3 0.43 0.024767987296297783
2.3 0.54 0.026091035812434063
2.3 0.65 0.027419455946428705
2.3 0.76 0.028749461065433947
2.3 0.87 0.030077058929534946
2.3 0.98 0.031398275473755635
2.3 1.09 0.03270919165926195
2.3 1.2 0.034005648249244416
2.3 1.3 0.035284092903712545
2.3 1.41 0.036540711482539776
2.3 1.52 0.03777188641955581
2.3 1.63 0.038974145090501115
2.3 1.74 0.04014418378838334
2.3 1.85 0.041279102904916015
2.3 1.96 0.042375853205980904
2.3 2.07 0.04343178159364107
2.3 2.17 0.044444465864192206
2.3 2.28 0.04541171461341014
2.3 2.39 0.046331589460184314
2.3 2.5 0.047202675405667555
 
4.5 0.0 0.019607843137254898
4.5 0.11 0.022248067130430663
4.5 0.22 0.0250420977434086
4.5 0.33 0.02796960625199461
4.5 0.43 0.031009142695088716
4.5 0.54 0.034135593632130805
4.5 0.65 0.037321769482384054
4.5 0.76 0.04053875425418939
4.5 0.87 0.0437562693755094
4.5 0.98 0.046943604312785304
4.5 1.09 0.0500698853871397
4.5 1.2 0.0531051265784241
4.5 1.3 0.05602132837537259
4.5 1.41 0.058792012614326275
4.5 1.52 0.06139363698755703
4.5 1.63 0.06380621801049752
4.5 1.74 0.06601333242048038
4.5 1.85 0.06800237318133928
4.5 1.96 0.06976523664487387
4.5 2.07 0.07129831968913806
4.5 2.17 0.07260184197981719
4.5 2.28 0.07368023116488162
4.5 2.39 0.07454286264277113
4.5 2.5 0.07520098488998812
 
6.7 0.0 0.019607843137254898
6.7 0.11 0.02355549976199138
6.7 0.22 0.02789110440040338
6.7 0.33 0.03257074962998705
6.7 0.43 0.03753477618519603
6.7 0.54 0.04270976266206672
6.7 0.65 0.04801106213028285
6.7 0.76 0.05334536489861949
6.7 0.87 0.058614722964564187
6.7 0.98 0.06372205959386724
6.7 1.09 0.06857277895871056
6.7 1.2 0.07308275190389375
6.7 1.3 0.07717887600685513
6.7 1.41 0.08080523849968975
6.7 1.52 0.08392328919444815
6.7 1.63 0.08651507725483298
6.7 1.74 0.08858187682501184
6.7 1.85 0.0901446041514166
6.7 1.96 0.09124097671871026
6.7 2.07 0.09192288973938996
6.7 2.17 0.09225315482480802
6.7 2.28 0.09229955593317353
6.7 2.39 0.09213340566662215
6.7 2.5 0.09182256576476003
 
9.0 0.0 0.019607843137254898
9.0 0.11 0.024802120916412432
9.0 0.22 0.030706770395971555
9.0 0.33 0.03724829812400506
9.0 0.43 0.04430610113414129
9.0 0.54 0.05172043941740933
9.0 0.65 0.059298578245656146
9.0 0.76 0.06682702383550362
9.0 0.87 0.07408629114950697
9.0 0.98 0.0808667267258742
9.0 1.09 0.08698339772597019
9.0 1.2 0.09229212326659111
9.0 1.3 0.09669859132152564
9.0 1.41 0.10016519620454807
9.0 1.52 0.10271323302318791
9.0 1.63 0.10441462179555978
9.0 1.74 0.10538642581422564
9.0 1.85 0.1057740789562206
9.0 1.96 0.10573709662440108
9.0 2.07 0.10543314680654786
9.0 2.17 0.10500259838864849
9.0 2.28 0.10455748020142405
9.0 2.39 0.10417525956209935
9.0 2.5 0.10389612435482723
 
11.2 0.0 0.019607843137254898
11.2 0.11 0.025998394664953794
11.2 0.22 0.03351119270338988
11.2 0.33 0.04202773410629881
11.2 0.43 0.05133630035082259
11.2 0.54 0.06113819284690574
11.2 0.65 0.07106596873436954
11.2 0.76 0.08071766254119783
11.2 0.87 0.08969692146102454
11.2 0.98 0.09765409263059266
11.2 1.09 0.10432718166971307
11.2 1.2 0.10956933334503921
11.2 1.3 0.11336357646761544
11.2 1.41 0.11581539243599497
11.2 1.52 0.11713381128534024
11.2 1.63 0.11759405527624019
11.2 1.74 0.11749625546686542
11.2 1.85 0.11711899605768808
11.2 1.96 0.11668648133118185
11.2 2.07 0.11634459247752128
11.2 2.17 0.11615613540178263
11.2 2.28 0.11610737242265082
11.2 2.39 0.11613298002056475
11.2 2.5 0.1161436011742105
 
13.4 0.0 0.019607843137254898
13.4 0.11 0.027178852972047578
13.4 0.22 0.036352811946759
13.4 0.33 0.04696294194468982
13.4 0.43 0.058665666292955665
13.4 0.54 0.07095518963369259
13.4 0.65 0.08320943920359966
13.4 0.76 0.09476651221239203
13.4 0.87 0.10501580231495676
13.4 0.98 0.11348874750052723
13.4 1.09 0.11992828657928772
13.4 1.2 0.1243227311677151
13.4 1.3 0.126892136190934
13.4 1.41 0.12803194605109108
13.4 1.52 0.12822588153290845
13.4 1.63 0.1279470000972792
13.4 1.74 0.12757270221406278
13.4 1.85 0.1273308456512589
13.4 1.96 0.12728895284217173
13.4 2.07 0.1273834214683595
13.4 2.17 0.12747793983673597
13.4 2.28 0.12742915245958877
13.4 2.39 0.12714516000754303
13.4 2.5 0.12661136202612056
 
15.6 0.0 0.019607843137254898
15.6 0.11 0.02835452981985791
15.6 0.22 0.03924675584277586
15.6 0.33 0.052065204567474495
15.6 0.43 0.06628447593473337
15.6 0.54 0.08110982412472073
15.6 0.65 0.09557476632700382
15.6 0.76 0.10869556988721911
15.6 0.87 0.11965118317621182
15.6 0.98 0.12793990211451342
15.6 1.09 0.13347068051941594
15.6 1.2 0.13655595885660954
15.6 1.3 0.1378073323899419
15.6 1.41 0.1379643450685411
15.6 1.52 0.13770266117856472
15.6 1.63 0.13748676497569645
15.6 1.74 0.1375056132486502
15.6 1.85 0.13770154973879337
15.6 1.96 0.1378753117355098
15.6 2.07 0.1378181467126176
