a b c
0.1 0.0 0.019607843137254898
0.1 0.11 0.01961162868230773
0.1 0.22 0.019615415352887158
0.1 0.33 0.01961920193374528
0.1 0.43 0.01962298821424413
0.1 0.54 0.01962677405121512
0.1 0.65 0.019630560462358934
0.1 0.76 0.01963434734302664
0.1 0.87 0.01963813406017428
0.1 0.98 0.01964192056368651
0.1 1.09 0.019645706805099743
0.1 1.2 0.019649492736878642
0.1 1.3 0.01965327831202973
0.1 1.41 0.019657063483883495
0.1 1.52 0.019660848205964025
0.1 1.63 0.01966463243190621
0.1 1.74 0.019668416115399684
0.1 1.85 0.01967219921014794
0.1 1.96 0.01967598166983686
0.1 2.07 0.01967976344810885
0.1 2.17 0.01968354449854117
0.1 2.28 0.01968732477462703
0.1 2.39 0.019691104229759095
0.1 2.5 0.019694882817215268
 
2.3 0.0 0.019607843137254898
2.3 0.11 0.02120172049370628
2.3 0.22 0.022818045056634567
2.3 0.33 0.024447072451497066
2.3 0.43 0.02607937180801837
2.3 0.54 0.02770517133812165
2.3 0.65 0.029314809562983234
2.3 0.76 0.030898576361480294
2.3 0.87 0.032447294869911186
2.3 0.98 0.033952073805020626
2.3 1.09 0.03540444242465345
2.3 1.2 0.0367965112214387
2.3 1.3 0.03812145737120337
2.3 1.41 0.039372487326445334
2.3 1.52 0.040544037384730544
2.3 1.63 0.04163126828163562
2.3 1.74 0.042630651898407264
2.3 1.85 0.04353904412829692
2.3 1.96 0.04435447320670162
2.3 2.07 0.04507582769317024
2.3 2.17 0.04570337142119334
2.3 2.28 0.046237756816515874
2.3 2.39 0.04668067454536129
2.3 2.5 0.04703451383984671
 
4.5 0.0 0.019607843137254898
4.5 0.11 0.02329409074995849
4.5 0.22 0.02720427729304016
4.5 0.33 0.03127219709816472
4.5 0.43 0.035423806261216405
4.5 0.54 0.039579506161684895
4.5 0.65 0.04365820028792372
4.5 0.76 0.04758014305746053
4.5 0.87 0.05127142630373576
4.5 0.98 0.05466520734571373
4.5 1.09 0.057706485528076015
4.5 1.2 0.060353517039235964
4.5 1.3 0.06257855078758619
4.5 1.41 0.06437002504675528
4.5 1.52 0.06573062489241357
4.5 1.63 0.06667859400419257
4.5 1.74 0.06724417461082509
4.5 1.85 0.06746781487383927
4.5 1.96 0.06739869412825165
4.5 2.07 0.06708988048283679
4.5 2.17 0.06659729488050702
4.5 2.28 0.06597510871879166
4.5 2.39 0.06527464380530494
4.5 2.5 0.06454058543771714
 
6.7 0.0 0.019607843137254898
6.7 0.11 0.025097767447676708
6.7 0.22 0.031223772444201395
6.7 0.33 0.03782129201621243
6.7 0.43 0.04467641779756273
6.7 0.54 0.05154199218205526
6.7 0.65 0.05815807925900322
6.7 0.76 0.06427321232193701
6.7 0.87 0.06966930510502473
6.7 0.98 0.07417968812260105
6.7 1.09 0.07770447418971925
6.7 1.2 0.08021729424714129
6.7 1.3 0.08176303669069529
6.7 1.41 0.0824505391166016
6.7 1.52 0.08243516397600333
6.7 1.63 0.08189953527241875
6.7 1.74 0.081032315775399
6.7 1.85 0.08000635057957112
6.7 1.96 0.07896480368882362
6.7 2.07 0.07800863135980594
6.7 2.17 0.07719304115628944
6.7 2.28 0.07653021280052433
6.7 2.39 0.07599803348825276
6.7 2.5 0.07555036170180422
 
9.0 0.0 0.019607843137254898
9.0 0.11 0.02696427180888599
9.0 0.22 0.03551453740358554
9.0 0.33 0.044928370176860785
9.0 0.43 0.05473556199371097
9.0 0.54 0.06437745932386779
9.0 0.65 0.07328019742316912
9.0 0.76 0.08093751689741853
9.0 0.87 0.08698315103683801
9.0 0.98 0.09124506841336741
9.0 1.09 0.0937615850372255
9.0 1.2 0.09476068845282926
9.0 1.3 0.09460636425701388
9.0 1.41 0.09372078588815866
9.0 1.52 0.09250665631330235
9.0 1.63 0.09128176048099344
