a b c
0.1 0.02 0.019607843137254898
0.1 0.06 0.019609262907470126
0.1 0.1 0.019610682713910872
0.1 0.14 0.019612102556142274
0.1 0.18 0.01961352243374082
0.1 0.22 0.019614942346294267
0.1 0.26 0.019616362293401496
0.1 0.3 0.019617782274672407
0.1 0.34 0.01961920228972768
0.1 0.38 0.0196206223381988
0.1 0.42 0.019622042419727845
0.1 0.46 0.019623462533967455
0.1 0.5 0.019624882680580692
0.1 0.54 0.019626302859240996
0.1 0.58 0.019627723069632102
0.1 0.62 0.01962914331144796
0.1 0.66 0.019630563584392743
0.1 0.7 0.019631983888180733
0.1 0.74 0.01963340422253633
0.1 0.78 0.019634824587194077
0.1 0.82 0.019636244981898535
0.1 0.86 0.01963766540640431
0.1 0.9 0.01963908586047619
0.1 0.94 0.019640506343888985
 
58.7 0.02 0.019607843137254898
58.7 0.06 0.029553337860215186
58.7 0.1 0.04306174277086372
58.7 0.14 0.0605150156910506
58.7 0.18 0.08191116587073997
58.7 0.22 0.10671528049714422
58.7 0.26 0.13378653676752947
58.7 0.3 0.16146057078578607
58.7 0.34 0.18779149616977
58.7 0.38 0.21092656452002634
58.7 0.42 0.2295212791678664
58.7 0.46 0.24305113788380717
58.7 0.5 0.2519021131388533
58.7 0.54 0.25717895470288443
58.7 0.58 0.2602873477929177
58.7 0.62 0.262461256684926
58.7 0.66 0.2644131980939208
58.7 0.7 0.2662615064257845
58.7 0.74 0.26773369274308867
58.7 0.78 0.2685112622576562
58.7 0.82 0.26851590656015656
58.7 0.86 0.26798581365466656
58.7 0.9 0.26731611122473375
58.7 0.94 0.26680921391037316
 
117.3 0.02 0.019607843137254898
117.3 0.06 0.037917092956246505
117.3 0.1 0.06775292705974477
117.3 0.14 0.11104550653676788
117.3 0.18 0.16601990091523
117.3 0.22 0.22597887913543901
117.3 0.26 0.28089126355608823
117.3 0.3 0.32204855065954263
117.3 0.34 0.3469194920054866
117.3 0.38 0.35986570367900717
117.3 0.42 0.36754064957600363
117.3 0.46 0.3734375582069883
117.3 0.5 0.3772054477393245
117.3 0.54 0.3783360072112471
117.3 0.58 0.37829854492437115
117.3 0.62 0.3784737416742446
117.3 0.66 0.37828072253481926
117.3 0.7 0.37692396785460236
117.3 0.74 0.37519709047206407
117.3 0.78 0.37392755660597615
117.3 0.82 0.37248225220199965
117.3 0.86 0.37036462079393656
117.3 0.9 0.36832674133807597
117.3 0.94 0.36667780080710716
 
