a b 
0.1 5.093544458921701
2.3 80.00149967212207
4.5 111.00489106753835
6.7 125.59666641578053
9.0 134.67605593440348
11.2 138.75525687185979
13.4 141.40016011107102
15.6 143.52010865011633
17.8 145.62112088449982
20.0 147.96576030697284
22.2 150.67246595278536
24.4 153.78854217707158
26.7 157.90907560323367
28.9 161.79115706306226
31.1 166.00181114361496
33.3 170.46337008977736
35.5 175.09227659187138
37.7 179.80353964051375
39.9 184.51478092477296
42.1 189.15354937409572
44.4 194.10266240306893
46.6 198.44253698399575
48.8 202.61380617789007
51.0 206.62385891196703
