a b
0.1 5.088941845601895
2.3 65.18518150024474
4.5 80.3265493786155
6.7 86.81131867487804
9.0 93.07271054316331
11.2 98.79716527115305
13.4 105.60150063071744
15.6 113.2015236740668
17.8 121.03849964178471
20.0 128.5435983481069
22.2 135.3730553226907
24.4 141.5210281728278
26.7 147.79539496802897
28.9 153.39153993651203
31.1 159.1110358072388
33.3 164.98751685627474
35.5 170.89239870341487
37.7 176.63446345624618
39.9 182.07600895471248
42.1 187.2055401475342
44.4 192.56528895045807
46.6 197.43289710342708
48.8 202.36750526998273
51.0 207.38267104402493
