a b 
0.1 5.096309439197869
2.3 92.86180473549396
4.5 145.11849115753589
6.7 178.5011309763058
9.0 203.13229486728187
11.2 218.16920821059003
13.4 228.412985767265
15.6 235.34922438491407
17.8 240.06375816012394
20.0 243.22079504787968
22.2 245.23752385927807
24.4 246.47757876117166
26.7 248.15491626865233
28.9 248.49552316026896
31.1 248.62012863551507
33.3 248.65434956492095
35.5 248.6811357318746
37.7 248.72932427787285
39.9 248.83783524059564
42.1 249.05911590272393
44.4 249.96699486376843
46.6 250.42067626341282
48.8 251.02488299159114
51.0 251.7388720182765
