a b
0.1 5.08986179584906
2.3 67.63582282396585
4.5 84.73758165992753
6.7 91.67689811148222
9.0 97.51644757378679
11.2 102.21838226149144
13.4 107.78398989580593
15.6 114.23888148580001
17.8 121.30396386400199
20.0 128.55525219697597
22.2 135.57296203072616
24.4 142.0773344323352
26.7 148.56189534122123
28.9 154.02109577981275
31.1 159.26824310748924
33.3 164.51867837652566
35.5 169.89080443991972
37.7 175.3797255600894
39.9 180.88287148423106
42.1 186.26180661748714
44.4 191.84172056831852
46.6 196.71617461896193
48.8 201.38649922607803
51.0 205.9456833770327
