a b
0.1 5.07884137930979
2.3 48.726051653501024
4.5 59.83964181563674
6.7 72.58973168680157
9.0 85.08700892328316
11.2 95.24290980262633
13.4 104.50308346338774
15.6 113.07269274717227
17.8 120.64090640781359
20.0 127.75687057866888
22.2 134.48235197086078
24.4 140.86970348144766
26.7 147.50517976372865
28.9 153.39153993651203
31.1 159.1110358072388
33.3 164.51867837652566
35.5 169.89080443991972
37.7 175.03176857591376
39.9 179.98173234090967
42.1 185.03171480624408
44.4 190.1294448185331
46.6 194.67817262830832
48.8 199.2978794181626
51.0 203.95993086968448
