a b
0.1 4.859300492769987
2.3 29.035668278457806
4.5 50.9695649340963
6.7 71.422430734401
9.0 93.25597348379739
11.2 114.24781227178934
13.4 134.76349795406696
15.6 155.07632554331943
17.8 176.37976047488345
20.0 196.7488463662295
22.2 216.08852875532244
24.4 233.04148531666252
26.7 287.29357669530106
28.9 267.9980482023531
31.1 314.0020024705309
33.3 341.8524361229263
35.5 324.15541263374695
37.7 337.74323266453234
39.9 372.52306307083626
42.1 423.9298518134209
44.4 465.31331246516373
46.6 478.868784059146
48.8 477.362625616251
51.0 482.8594876412188
